,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,name,type,distance,moving_time,total_elevation_gain,start_date
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,Light run to sf pancake party !sweat makeup off,Run,8.017698594477788e-55,1422,47.5,2022-02-27T17:40:49Z
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,Late to tennis run ,Run,3.881266723209238e-55,646,0.0,2022-02-24T02:48:04Z
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,Today’s stream and new streamingmachine brought to you by Jeff ,Run,2.9330018241448416e-54,5813,195.6,2022-02-15T00:28:59Z
53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,Run around to avoid PE class ,Run,9.57127724537345e-55,1708,37.3,2022-02-10T23:25:13Z
54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,W/ toogoodtogo ,Run,4.261238830408666e-55,834,48.8,2022-02-04T01:53:31Z
55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,Jog 2 TooGoodToGo ,Run,7.459321447525412e-55,1220,15.5,2022-02-04T01:27:23Z
56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,Evening Run,Run,1.036931438134988e-55,244,0.0,2022-02-03T03:16:03Z
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,Late 2 🎾 ,Run,3.633567022092951e-55,652,0.0,2022-02-01T02:48:50Z
58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,I don’t always run into the vercel ceo walking but when I do it’s when I’m late for tennis ,Run,3.6929077541996044e-55,676,0.0,2022-01-29T02:45:04Z
59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,# hills 🤝 # zoom meetings = too dang high ,Run,2.265131455370023e-54,4173,200.6,2022-01-27T00:57:42Z
60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,Pre-phone banking post-lying to get out of tennis practice and then it happened #manifestation ,Run,6.571890369956023e-55,1077,0.0,2022-01-26T01:22:25Z
61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,Late 2 tennis,Run,3.0935663599225e-55,556,0.0,2022-01-24T23:44:41Z
62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,Fri-yay,Run,8.682314794072111e-55,1543,23.1,2022-01-22T01:12:17Z
63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,Best stream night run ,Run,2.072963194202628e-54,3804,158.6,2022-01-21T01:36:00Z
