name,type,distance,moving_time,total_elevation_gain,start_date
I left an after party for this run lol,Run,14068.2,5242,122.8,2023-06-28T13:48:58Z
Morning Weight Training,WeightTraining,0.0,515,0.0,2023-06-27T17:54:29Z
Morning Elliptical,Elliptical,0.0,2828,0.0,2023-06-27T17:05:43Z
Quick laps testing new shoes ,Run,3523.3,1136,22.8,2023-06-27T02:07:02Z
Afternoon Ride,Ride,6316.7,1472,90.4,2023-06-25T21:05:09Z
Morning Ride,Ride,6081.4,1423,65.8,2023-06-25T15:27:11Z
Post-pizza ride ,Ride,10067.6,2027,136.6,2023-06-25T01:03:49Z
Bike for pizza went to wrong laundromat ,Ride,5280.9,1126,87.2,2023-06-24T23:44:19Z
Afternoon Walk,Walk,1985.5,954,8.4,2023-06-24T23:22:40Z
Coffee to picnic hi E long way feat new Valencia bike lane ,Ride,16032.3,3683,115.2,2023-06-24T20:35:48Z
Ride for coffee,Ride,6872.2,1748,5.6,2023-06-24T19:22:26Z
Night Walk,Walk,2345.0,1293,54.0,2023-06-24T05:00:51Z
I went to bed early to get this done omg ,Run,13397.4,4971,79.2,2023-06-23T14:10:03Z
Lunch Walk,Walk,1697.1,1427,12.4,2023-06-22T18:21:08Z
Morning Walk,Walk,1761.4,1402,0.0,2023-06-21T17:11:29Z
The one where shubha + Lizzie run for fruit that’s on sale,Run,9482.2,4044,125.0,2023-06-20T23:11:04Z
Lunch Walk,Walk,1318.9,334,15.6,2023-06-20T19:32:21Z
Afternoon Weight Training,WeightTraining,0.0,783,0.0,2023-06-20T00:55:54Z
Afternoon Elliptical,Elliptical,0.0,3609,0.0,2023-06-19T23:54:45Z
Afternoon Ride,Ride,4457.1,1356,83.0,2023-06-19T21:33:01Z
Lunch Ride,Ride,5937.7,1633,69.8,2023-06-19T18:39:33Z
Crosstown trail ,Walk,24550.9,19338,765.4,2023-06-18T20:52:00Z
Lunch Ride,Ride,6393.9,1477,84.4,2023-06-18T19:25:02Z
Morning Ride,Ride,6164.0,1351,76.2,2023-06-18T15:25:36Z
Afternoon Tennis,Workout,0.0,1073,0.0,2023-06-17T20:44:38Z
Evening Tennis,Workout,0.0,4295,0.0,2023-06-17T01:49:35Z
Evening Walk,Walk,2209.9,1355,25.2,2023-06-17T01:08:06Z
Evening Tennis,Workout,0.0,5465,0.0,2023-06-16T02:33:35Z
Evening Ride,Ride,6377.2,1382,75.6,2023-06-16T01:42:03Z
Morning Walk,Walk,1855.6,1406,0.0,2023-06-15T17:44:57Z
Evening Ride,Ride,6355.0,1456,86.4,2023-06-15T03:50:32Z
Evening Tennis,Workout,0.0,2842,0.0,2023-06-15T02:46:43Z
Evening Pickleball,Workout,0.0,459,0.0,2023-06-15T02:17:25Z
Afternoon Ride,Ride,6142.2,1354,76.2,2023-06-14T22:27:42Z
Post-wine bar ,Ride,2619.0,820,75.6,2023-06-14T02:53:49Z
Pickleball to dumplings ,Ride,3734.4,736,14.0,2023-06-14T00:42:27Z
