,name,type,distance,moving_time,total_elevation_gain,start_date_local
492,Lunch Walk,Walk,1745.5,1166,3.0,2023-02-21T11:11:57Z
496,Afternoon Walk,Walk,5132.1,3391,62.8,2023-02-19T15:30:46Z
497,Afternoon Walk,Walk,2225.9,738,2.0,2023-02-18T17:26:19Z
498,Afternoon Walk,Walk,2058.4,67,0.0,2023-02-18T14:43:44Z
499,Lunch Walk,Walk,2136.5,1459,15.4,2023-02-18T11:04:15Z
501,Afternoon Walk,Walk,5971.0,4073,107.8,2023-02-17T13:37:20Z
502,Evening Walk,Walk,915.0,143,4.4,2023-02-16T19:00:43Z
503,Morning Walk,Walk,1944.6,1287,0.0,2023-02-16T10:38:20Z
504,Lunch Walk,Walk,1345.3,576,10.2,2023-02-15T12:18:31Z
505,Morning Walk,Walk,1523.1,887,0.0,2023-02-15T10:49:38Z
507,Morning Walk,Walk,1868.0,1351,0.0,2023-02-14T09:34:45Z
508,Lunch Walk,Walk,3309.9,2511,54.6,2023-02-13T11:37:51Z
513,Morning Walk,Walk,4413.9,3002,91.4,2023-02-11T10:20:03Z
520,Evening Walk,Walk,2317.2,1653,0.0,2023-02-09T18:37:13Z
523,Lunch Walk,Walk,2034.6,1593,4.8,2023-02-08T11:18:08Z
525,Morning Walk,Walk,340.7,232,0.0,2023-02-06T08:10:02Z
526,Evening Walk,Walk,737.5,547,7.2,2023-02-05T18:12:25Z
528,Afternoon Walk,Walk,2058.6,1562,31.8,2023-02-04T14:06:31Z
529,Morning Walk,Walk,1641.1,1181,12.4,2023-02-04T09:07:30Z
530,Flight to beach pipeline,Walk,5323.0,4680,60.8,2023-02-03T10:48:48Z
533,Evening Walk,Walk,1218.2,1025,104.0,2023-02-01T18:56:46Z
534,Morning Walk,Walk,1131.9,638,0.0,2023-02-01T10:09:51Z
536,Afternoon Walk,Walk,1980.1,1435,99.4,2023-01-31T17:06:08Z
537,Morning Walk,Walk,1870.1,1121,0.0,2023-01-31T08:37:50Z
538,Evening Walk,Walk,298.6,336,9.0,2023-01-30T19:34:57Z
539,Afternoon Walk,Walk,2545.3,1973,87.8,2023-01-30T14:47:18Z
540,Afternoon Walk,Walk,1303.4,970,20.2,2023-01-30T13:12:47Z
546,Night Walk,Walk,0.0,382,8.4,2023-01-27T21:15:33Z
547,Evening Walk,Walk,1373.1,1167,43.0,2023-01-27T18:05:10Z
548,Morning Walk,Walk,2376.5,1765,7.0,2023-01-26T09:02:14Z
549,Afternoon Walk,Walk,2061.9,1700,89.4,2023-01-25T16:45:01Z
550,Morning Walk,Walk,1962.2,1458,2.0,2023-01-25T09:44:11Z
552,Afternoon Walk,Walk,1608.5,1184,100.4,2023-01-24T17:14:46Z
553,Morning Walk,Walk,2856.4,1896,5.4,2023-01-24T10:41:49Z
554,Night Walk,Walk,2653.2,2114,83.2,2023-01-23T21:39:59Z
555,Evening Walk,Walk,2138.9,1441,12.6,2023-01-23T18:35:07Z
556,Afternoon Walk,Walk,2159.7,1606,95.2,2023-01-20T15:28:41Z
557,Afternoon Walk,Walk,1723.6,1125,2.6,2023-01-20T13:36:49Z
559,Afternoon Walk,Walk,2037.8,1626,109.8,2023-01-19T16:59:52Z
560,Morning Walk,Walk,2326.1,1728,0.0,2023-01-19T09:25:05Z
561,Evening Walk,Walk,2077.9,1680,76.0,2023-01-18T18:59:47Z
562,Afternoon Walk,Walk,2002.3,1421,12.2,2023-01-18T17:20:11Z
572,Afternoon Walk,Walk,2716.4,2090,102.6,2023-01-12T17:06:30Z
573,Morning Walk,Walk,2278.6,1792,25.8,2023-01-12T10:56:49Z
578,Lunch Walk,Walk,4390.0,2862,21.0,2023-01-06T12:51:40Z
592,Afternoon Walk,Walk,6532.6,4557,134.0,2022-12-28T13:48:56Z
604,Afternoon Walk,Walk,3207.1,2201,18.0,2022-12-14T13:17:51Z
608,Evening Walk,Walk,4200.9,3015,96.0,2022-12-12T20:41:00Z
610,Evening Walk,Walk,2883.2,1938,25.2,2022-12-12T18:01:49Z
611,Afternoon Walk,Walk,3310.2,2304,60.0,2022-12-12T14:43:15Z
613,Afternoon Walk,Walk,5210.7,3812,172.6,2022-12-11T14:35:47Z
614,Night walk post-holiyay party,Walk,3078.6,2381,104.6,2022-12-08T23:13:28Z
615,Walk to office party ,Walk,3734.6,2552,40.4,2022-12-08T18:44:08Z
620,Afternoon Walk,Walk,2574.6,2038,6.2,2022-12-03T14:21:51Z
621,Evening Walk,Walk,2772.9,2134,26.2,2022-12-02T18:10:37Z
623,Morning Walk,Walk,2139.8,2410,179.6,2022-11-30T10:42:21Z
624,Walk up to Fortress,Walk,5193.2,4516,166.0,2022-11-29T13:54:58Z
627,Afternoon Walk,Walk,4775.0,3285,7.6,2022-11-21T16:18:46Z
628,Evening Walk,Walk,3340.7,2211,14.6,2022-11-18T18:28:19Z
629,Morning Walk,Walk,4315.8,4478,26.3,2022-11-18T08:35:32Z
635,Election day visibility with kevin! ,Walk,6463.0,5061,14.1,2022-11-08T15:09:59Z
642,Walk/run to tennis run into bilal! ,Walk,2807.0,1538,2.9,2022-11-02T18:29:28Z
646,Afternoon Walk,Walk,5927.2,4060,104.4,2022-10-30T14:40:22Z
648,Afternoon Walk,Walk,2759.7,1832,10.4,2022-10-29T15:37:54Z
650,Afternoon Walk,Walk,3356.4,2379,17.5,2022-10-27T16:47:19Z
653,Afternoon Walk,Walk,2767.9,2018,53.2,2022-10-24T15:28:43Z
662,Morning Canvass for yes on J and Yes on D,Walk,2705.9,2600,15.7,2022-10-15T10:47:37Z
702,Acai bowl walk,Walk,3331.0,2593,10.9,2022-09-04T12:04:18Z
703,Pennapps break meet Kennedy ,Walk,6370.9,4961,33.6,2022-09-03T17:52:10Z
706,"1 walk, 4 nyc bookstores ",Walk,7761.1,5439,8.7,2022-08-30T12:16:37Z
712,Walk from GGP stop in Alamo square bc elise ,Walk,5266.5,3969,113.1,2022-08-21T13:50:10Z
714,Walk to GGP ,Walk,6577.6,4981,104.9,2022-08-21T08:40:00Z
721,Walk for coffee + museum ,Walk,4332.9,3294,24.1,2022-08-10T13:28:00Z
728,Walk back from author event Will,Walk,3167.9,2617,95.6,2022-07-31T20:21:24Z
731,Walk 2 werk dinner ,Walk,2675.8,2420,15.6,2022-07-27T17:24:31Z
732,Walk to coffee and conference,Walk,2681.5,1909,5.6,2022-07-27T08:20:26Z
736,Monter-yay,Walk,1481.6,1464,8.0,2022-07-24T11:47:55Z
737,Post-root.vc 2 Napa ,Walk,3712.9,2933,89.2,2022-07-23T18:21:21Z
740,Night Walk,Walk,965.4,741,7.0,2022-07-19T21:01:47Z
742,Farmers market ,Walk,4001.1,3111,84.5,2022-07-17T13:58:14Z
744,Matcha to mixed dubs ,Walk,7086.6,4944,94.0,2022-07-15T16:14:17Z
746,Walk post-scoma’s w/ griffin ,Walk,2302.0,2072,117.9,2022-07-11T19:42:20Z
748,Walk to playoffs ,Walk,5968.0,4056,86.9,2022-07-10T10:06:02Z
