,name,type,distance,moving_time,total_elevation_gain,start_date_local
307,Morning Ride,Ride,6171.5,1478,98.2,2023-05-18T07:11:45Z
309,Afternoon Ride,Ride,5923.3,1295,61.2,2023-05-16T17:52:45Z
310,Afternoon Ride,Ride,6078.2,1436,66.0,2023-05-16T13:43:12Z
311,Lunch Ride,Ride,2873.8,715,53.8,2023-05-16T11:19:43Z
313,Morning Ride,Ride,2599.3,749,47.4,2023-05-16T09:53:03Z
320,KEVIN MEETS JAKE X KEVIN’S LAST EAST BAY BIKE PARTY,Ride,24656.9,7753,91.4,2023-05-12T20:21:22Z
321,Evening Ride,Ride,2003.4,576,0.0,2023-05-12T18:56:35Z
322,bike pickup x errands,Ride,6781.9,1893,140.2,2023-05-12T13:03:03Z
326,Evening Ride,Ride,3797.3,742,17.2,2023-05-10T19:22:26Z
328,Afternoon Ride,Ride,6302.5,1645,77.8,2023-05-10T15:19:54Z
331,Afternoon Ride,Ride,6369.4,1634,91.8,2023-05-09T17:39:13Z
332,Afternoon Ride,Ride,6215.1,1624,83.2,2023-05-09T15:22:18Z
341,sf bike party ,Ride,10283.1,3519,128.8,2023-05-05T20:16:27Z
342,To bike party ,Ride,9842.6,2640,95.0,2023-05-05T19:10:09Z
346,Team bikes to Sf devrel meetup ,Ride,4124.9,1229,16.8,2023-05-04T17:38:17Z
350,Afternoon Ride,Ride,6441.1,2001,99.4,2023-05-03T17:19:42Z
351,Morning Ride,Ride,2568.5,611,0.0,2023-05-03T09:28:27Z
352,Afternoon Ride,Ride,6484.2,1847,86.2,2023-05-02T16:16:10Z
353,Afternoon Ride,Ride,6158.4,1562,67.8,2023-05-02T14:12:19Z
362,Afternoon Ride,Ride,6321.9,1680,87.2,2023-04-25T17:40:16Z
363,Afternoon Ride,Ride,6076.8,1480,69.0,2023-04-25T15:21:05Z
384,Afternoon Ride,Ride,6466.9,1685,91.8,2023-04-09T14:08:50Z
385,Morning Ride,Ride,6061.3,1385,65.8,2023-04-09T10:10:48Z
387,Afternoon Ride,Ride,2077.7,813,76.8,2023-04-08T13:54:24Z
388,Lunch Ride,Ride,1991.6,521,27.0,2023-04-08T12:25:25Z
389,Afternoon Ride,Ride,4764.6,1571,85.4,2023-04-07T17:44:44Z
391,Afternoon Ride,Ride,4667.7,1093,5.8,2023-04-07T15:14:33Z
392,Night Ride,Ride,6384.1,1730,85.4,2023-04-06T21:11:28Z
394,Afternoon Ride,Ride,6194.5,1569,73.2,2023-04-06T15:20:51Z
395,Morning Ride,Ride,5988.7,1191,14.4,2023-04-06T10:38:52Z
397,Post-night coaching,Ride,6493.5,1610,91.4,2023-04-04T21:06:30Z
399,Evening Ride food,Ride,1897.8,408,19.4,2023-04-04T18:20:01Z
400,Afternoon Ride,Ride,1956.3,362,5.8,2023-04-04T17:46:24Z
401,Afternoon Ride,Ride,4419.2,1122,75.6,2023-04-04T15:10:02Z
402,Afternoon Ride,Ride,1963.4,419,2.4,2023-04-04T13:02:29Z
431,Is this how group chats form bike from Haight ,Ride,4260.7,1306,92.6,2023-03-19T17:48:43Z
432,Bike to sports bar for IW men’s final ,Ride,4184.0,1106,40.0,2023-03-19T16:01:36Z
436,Afternoon Ride,Ride,6304.4,1794,88.2,2023-03-18T13:02:02Z
438,Morning Ride,Ride,6400.5,1564,71.2,2023-03-18T09:14:09Z
439,Night Ride,Ride,2450.8,1031,82.8,2023-03-17T21:06:44Z
441,Evening Ride,Ride,2538.3,634,15.2,2023-03-17T18:02:56Z
445,Afternoon Ride,Ride,6383.7,1702,98.0,2023-03-15T15:11:26Z
447,Afternoon Ride,Ride,4642.8,1226,8.4,2023-03-15T13:12:44Z
461,Afternoon Ride post-devs x dumps 2 planning,Ride,4370.9,1437,100.4,2023-03-06T15:39:57Z
462,Ride 2 Duboce 2 plan devs && dumps 2,Ride,4186.1,1144,37.4,2023-03-06T13:51:41Z
465,Afternoon Ride,Ride,6235.7,1750,89.4,2023-03-04T13:21:45Z
466,Morning Ride,Ride,6244.4,1584,69.0,2023-03-04T10:02:22Z
467,Afternoon Ride for coffee post-pickleball coaching ,Ride,12185.7,2828,142.8,2023-03-03T15:32:08Z
468,Lunch Ride to 1st time coaching pickleball,Ride,6228.7,1595,71.0,2023-03-03T11:30:24Z
470,Post-office tiktoks and Haas biz talks ,Ride,6279.8,1818,103.6,2023-03-02T18:30:04Z
471,Zoom zoom post-livestream,Ride,6169.9,1178,13.0,2023-03-02T11:29:51Z
473,Evening Ride post—Yelp,Ride,6867.2,1830,100.8,2023-03-01T19:10:49Z
474,Evening Ride,Ride,3156.6,744,4.8,2023-03-01T18:45:18Z
